8231,9/8/1932 00:00:00,HH ,,ALISIA,,NORDIN,,,,,F                                  ,D,,,,,Live,,,,,
8232,5/6/1953 00:00:00,PN ,,ALYSHA,,BALDING,,,,,F                                  ,S,,,,,Live,,,,,
8233,1/13/1961 00:00:00,PN ,,ALESIA,,GADDIS,,,,,F                                  ,M,,,,,Live,,,,,
8234,5/6/1953 00:00:00,HH ,,ALESHIA,,CUDDINGTON,,,,,F                                  ,S,,,,,Live,,,,,
8235,11/13/1936 00:00:00,PN ,,FLOSSIE,,MAIDLOW,,,,,F                                  ,D,,,,,Live,,,,,
8236,2/27/1976 00:00:00,PN ,,ULYSSES,,GIRDLER,,,,,M                                  ,S,,,,,Live,,,,,
8237,7/14/1970 00:00:00,PN ,,ALYSA,,HEADLEY,,,,,F                                  ,D,,,,,Live,,,,,
8238,11/13/1936 00:00:00,HH ,,ALISE,,BRADLEY,,,,,F                                  ,D,,,,,Live,,,,,
8239,5/3/1921 00:00:00,PN ,,ALESHA,,RIDDLE,,,,,F                                  ,S,,,,,Live,,,,,
8240,8/6/1974 00:00:00,PN ,,ELISHA,,SMEDLEY,,,,,F                                  ,S,,,,,Live,,,,,
8241,6/11/1954 00:00:00,PN ,,ALYSSA,,CORDLE,,,,,F                                  ,D,,,,,Live,,,,,
8242,5/3/1921 00:00:00,HH ,,ALYSON,,HUDDLESTON,,,,,F                                  ,S,,,,,Live,,,,,
8243,3/4/1966 00:00:00,PN ,,CLETUS,,MC DONALD,,,,,M                                  ,D,,,,,Live,,,,,
8244,12/25/1960 00:00:00,PN ,,CLETA,,SANDOVAL,,,,,F                                  ,S,,,,,Live,,,,,
8245,7/2/1961 00:00:00,PN ,,ALITA,,SOWDON,,,,,F                                  ,M,,,,,Live,,,,,
8246,3/4/1966 00:00:00,HH ,,FLETCHER,,RANDOLPH,,,,,M                                  ,D,,,,,Live,,,,,
8247,7/25/1978 00:00:00,PN ,,ILLTUD,,MEADORS,,,,,M                                  ,S,,,,,Live,,,,,
8248,10/10/1944 00:00:00,PN ,,ILLTYD,,GORDON,,,,,M                                  ,M,,,,,Live,,,,,
8249,3/8/1954 00:00:00,PN ,,FLETA,,RARDON,,,,,F                                  ,M,,,,,Live,,,,,
8250,1/22/1943 00:00:00,PN ,,OLETA,,BURDO,,,,,F                                  ,M,,,,,Live,,,,,
8251,10/12/1951 00:00:00,PN ,,ALETA,,HENDRIX,,,,,F                                  ,M,,,,,Live,,,,,
8252,7/25/1978 00:00:00,HH ,,ALETHA,,LANDRETH,,,,,F                                  ,S,,,,,Live,,,,,
